"upeople_id","208scmChanges","398scmChanges","349scrChanges","408scrChanges","number_of_domain","country","208linesadded","208linesremoved","398linesadded","398linesremoved","349ReviewGotMerged","408ReviewGotMerged"
273,0,2,0,0,7,9,0,0,10,2,0,0
411,0,22,0,1,4,6,0,0,2050,1693,0,1
412,254,581,0,1,2,7,4125,2615,58572,29018,0,0
589,13,3187,5,84,4,7,544,5256,491412,404997,5,69
670,1,207,0,3,13,8,3441,0,38008,19911,0,3
721,0,0,0,0,3,10,0,0,0,0,0,0
765,0,0,0,0,2,10,0,0,0,0,0,0
829,0,0,0,0,1,7,0,0,0,0,0,0
1569,0,112,0,16,1,6,0,0,21425,30470,0,15
2282,0,0,0,0,3,7,0,0,0,0,0,0
2542,0,69,0,0,4,9,0,0,4786,1374,0,0
3082,0,0,0,0,2,9,0,0,0,0,0,0
378243,0,0,0,0,13,0,0,0,0,0,0,0
382758,0,0,0,0,2,0,0,0,0,0,0,0
432600,0,0,0,0,1,0,0,0,0,0,0,0
432620,0,0,0,0,1,0,0,0,0,0,0,0
432896,0,0,0,0,1,0,0,0,0,0,0,0
433641,0,0,0,0,0,0,0,0,0,0,0,0
433973,0,0,0,0,1,0,0,0,0,0,0,0
